ご注文者名称,届先名称,荷送人情報1,荷送人情報2,荷送人情報3,荷送人情報4,荷送人情報5,荷送人情報6,荷送人情報7,ご注文番号,ご注文日時,お支払方法,発行日,品番,カラー名,サイズ名,品名,JAN,税率,数量,単価,金額,小計,消費税,送料,手数料(代引/決済),利用ポイント,利用クーポン,支払合計,税対象(税込),税合計タイトル,左下メッセージ1,左下メッセージ2,左下メッセージ3
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M26399,カラー：ﾎﾜｲﾄ,サイズ：XS-140,テスト商品1,4550224307318,10%,2,3289,6578,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307311,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307312,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307313,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307314,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307315,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307316,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307317,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307319,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307310,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307328,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307338,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307348,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307358,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307368,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307378,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307388,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307398,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
東計　太郎　様,東計　次郎　様,WEGO 楽天市場店,株式会社ウィゴー,〒150-0001,東京都渋谷区神宮前1-19-19　ファーマメントビル1階 ,TEL：03-5784-5505,FAX：03-5775-5529,Mail：pj_crossmall_account@wego.jp,190920-04154251-00012345,2019年10月07日　09:36:01,代金引換,2019年10月07日,MC19SM08-M2639,カラー：ﾎﾜｲﾄ,サイズ：L,テスト商品1,4550224307118,10%,1,3289,3289,65780,0,605,300,-100,-200,66385,66385,10%対象(税込),このたびはお買い上げいただきまして、誠にありがとうございました。,お客様のお買い上げ明細書を送付いたしますので、,ご確認いただきますよう、お願いいたします。
